Year[I],Record,Artist(s),Production team,chop;;
1990,Wind Beneath My Wings,Bette Midler,Arif Mardin, producer;;
1990,The End of the Innocence,Don Henley,Don Henley & Bruce Hornsby, producers;;
1990,The Living Years,Mike + The Mechanics,Christopher Neil & Mike Rutherford, producers;;
1990,She Drives Me Crazy,Fine Young Cannibals,David Z & Fine Young Cannibals, producers;;
1990,We Didn't Start the Fire,Billy Joel,Mick Jones & Billy Joel, producers;;
1991,Another Day in Paradise,Phil Collins,Hugh Padgham & Phil Collins, producers;;
1991,From a Distance,Bette Midler,Arif Mardin, producer;;
1991,Nothing Compares 2 U,Sinéad O'Connor,Sinéad O'Connor & Nellee Hooper, producers;;
1991,U Can't Touch This,MC Hammer,MC Hammer, producer;;
1991,Vision of Love,Mariah Carey,Rhett Lawrence & Narada Michael Walden, producers;;
1992,Unforgettable,Natalie Cole (With Nat King Cole),David Foster, producer;;
1992,Baby Baby,Amy Grant,Keith Thomas, producer;;
1992,(Everything I Do) I Do It for You,Bryan Adams,Robert John Mutt Lange, producer;;
1992,Losing My Religion,R.E.M.,Scott Litt & R.E.M., producers;;
1992,Something to Talk About,Bonnie Raitt,Bonnie Raitt & Don Was, producers;;
1993,Tears in Heaven,Eric Clapton,Russ Titelman, producer;;
1993,Achy Breaky Heart,Billy Ray Cyrus,Joe Scaife & Jim Cotton, producers;;
1993,Beauty and the Beast,Celine Dion & Peabo Bryson,Walter Afanasieff, producer;;
1993,Constant Craving,k.d. lang,Greg Penny, Ben Mink & k.d. lang, producers;;
1993,Save the Best for Last,Vanessa Williams,Keith Thomas, producer;;
1994,I Will Always Love You,Whitney Houston&David Foster, producer;;
1994,Harvest Moon,Neil Young,Neil Young & Ben Keith, producers;;
1994,If I Ever Lose My Faith in You,Sting,Sting & Hugh Padgham, producers;;
1994,The River of Dreams,Billy Joel,Joe Nicolo & Danny Kortchmar, producers;;
1994,A Whole New World,Peabo Bryson & Regina Belle,Walter Afanasieff, producer;;
1995,All I Wanna Do,Sheryl Crow,Bill Bottrell, producer;;
1995,He Thinks He'll Keep Her,Mary Chapin Carpenter,Mary Chapin Carpenter & John Jennings, producers;;
1995,I'll Make Love to You,Boyz II Men,Babyface, producer;;
1995,Love Sneakin' Up On You,Bonnie Raitt,Don Was & Bonnie Raitt, producers;;
1995,Streets of Philadelphia,Bruce Springsteen,Bruce Springsteen & Chuck Plotkin, producers;;
1996,Kiss from a Rose,Seal,Trevor Horn, producer;;
1996,Gangsta's Paradise,Coolio,Doug Rasheed, producer;;
1996,One of Us,Joan Osborne,Rick Chertoff, producer;;
1996,One Sweet Day,Mariah Carey & Boyz II Men,Mariah Carey & Walter Afanasieff, producers;;
1996,Waterfalls,TLC,Patrick Brown, Rico Wade & Ray Murray, producers;;
1997,Change the World,Eric Clapton,Babyface, producer;;
1997,1979,The Smashing Pumpkins,Flood & Alan Moulder, producers;;
1997,Because You Loved Me,Celine Dion,David Foster, producer;;
1997,Give Me One Reason,Tracy Chapman,Tracy Chapman & Don Gehman, producers;;
1997,Ironic,Alanis Morissette,Glen Ballard, producer;;
1998,Sunny Came Home,Shawn Colvin,John Leventhal, producer;;
1998,Everyday Is a Winding Road,Sheryl Crow,Sheryl Crow, producer;;
1998,I Believe I Can Fly,R. Kelly,R. Kelly, producer;;
1998,MMMBop,Hanson,Dust Brothers & Stephen Lironi, producers;;
1998,Where Have All the Cowboys Gone?,Paula Cole,Paula Cole, producer;;
1999,My Heart Will Go On,Celine Dion,Walter Afanasieff, Simon Franglen & James Horner, producers; Simon Franglen, Humberto Gatica & David Gleeson, engineers/mixers;
1999,The Boy Is Mine,Brandy & Monica,Dallas Austin, Brandy & Rodney Jerkins, producers; Leslie Brathwalte, Ben Garrison, Rodney Jerkins & Dexter Simmons, engineers/mixers;
1999,Iris,Goo Goo Dolls,Rob Cavallo & Goo Goo Dolls, producers; Jack Joseph Puig & Allen Sides, engineers/mixers;
1999,Ray of Light,Madonna,Madonna & William Orbit, producers; Pat McCarthy, engineer/mixer;
1999,You're Still the One,Shania Twain,Robert John Mutt Lange, producer; Jeff Balding & Mike Shipley, engineers/mixers;
2000,Smooth,Santana featuring Rob Thomas,Matt Serletic, producer; David Thoener, engineer/mixer;
2000,Believe,Cher,Brian Rawling & Mark Taylor, producers; Mark Taylor, engineer/mixer;
2000,I Want It That Way,Backstreet Boys,Kristian Lundin & Max Martin, producers; Kristian Lundin & Max Martin, engineers/mixers;
2000,Livin' la Vida Loca,Ricky Martin,Desmond Child & Robi Rosa, producers; Charles Dye, engineer/mixer;
2000,No Scrubs,TLC,Kevin Shekspere Briggs, producer; Leslie Brathwaite & Carlton Lynn, engineers/mixers;
2001,Beautiful Day,U2,Brian Eno & Daniel Lanois, producers; Steve Lillywhite & Richard Rainey, engineer/mixers;
2001,Bye Bye Bye,*NSYNC,Jake Lundin & Kristian Lundin, producers; Mike Tucker, engineer/mixer;
2001,I Try,Macy Gray,Andrew Slater, producer; Darryl Swann & Dave Way, engineers/mixers;
2001,Music,Madonna,Mirwais Ahmadzaï & Madonna, producers;;
2001,Say My Name,Destiny's Child,Rodney Jerkins, producer; LaShawn Daniels, Brad Gilderman & Jean-Marie Horvat, engineers/mixers;
2002,Walk On,U2,Brian Eno & Daniel Lanois, producers; Steve Lillywhite & Richard Rainey, engineer/mixers;
2002,Drops of Jupiter,Train,Brendan O'Brien, producer; Nick DiDia, Brendan O'Brien & Ryan Williams, engineer/mixers;
2002,Fallin',Alicia Keys,Alicia Keys, producer; Kerry “Krucial” Brothers & Russ Elevado, engineer/mixers;
2002,Ms. Jackson,Outkast,Earthtone III, producer; John Frye & Neal H. Pogue, engineer/mixers;
2002,Video,India.Arie,India.Arie & Carlos “Six July” Broady, producers; Kevin Haywood & Mike Shipley, engineer/mixers;
